player,uid,level,rank,rank_div,rank_score,kills,damage,headshots,games_played,wins,kdr,damage_per_game
JittLag,2796579230,25.0,Unranked,0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
naynullo,2796582086,1.0,Rookie,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leon,2796623007,24.0,Rookie,4,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
xX-Zombi-Weed-Xx,2796617570,288.0,Unranked,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
lord_BAYKIN,2796550315,378.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l.e.v.i,2796565478,73.0,Rookie,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thesoldens09,2796627161,15.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndiMon64,2796558650,253.0,Silver,3,3675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bilador,2796645795,8.0,Unranked,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Savvy_Sloth,1008248095688,4.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy boy 246,2796629251,17.0,Unranked,0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
dino_zeus23-7,2796584791,8.0,Unranked,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceblock,2796495811,68.0,Rookie,2,600.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
kasma100,2796638000,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WolfGirl,2796600115,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown,2796671185,26.0,Gold,4,5741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v0st-0k125,2796573928,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mal jakee,1008248082333,11.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juan_k58,2796613667,32.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hobbit0423,2796573617,4.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mauger99,2796585952,24.0,Unranked,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
sof_coutinho,2796576078,13.0,Rookie,4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
UpperHighway,2796531173,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BlahaszDLV,2796624840,80.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561567852,2796565887,18.0,Rookie,3,315.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Little_BluePill,2796552169,493.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyanprimee,2796642499,13.0,Rookie,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ivyghost_Black,2796629854,254.0,Gold,3,6378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xl Arkadius lx,2796590022,23.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FriendZoner2024,2796566353,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kent_0819,2796643421,10.0,Unranked,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Banderax666,2796552316,5.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MINVILLE__508,2796596703,2.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safcmc,2796619211,10.0,Unranked,0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
samsuneight,2796585638,4.0,Rookie,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bangarang420x,1008995231571,2.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truekid242,2796627355,10.0,Unranked,0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
 ,2796562255,48.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shivery-system87,2796627121,2.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ture9710,2796578095,5.0,Unranked,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
negrita,2796550686,97.0,Bronze,2,2492.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
TrueDonryu1000,2796571385,58.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MrZed89,2796540656,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thiagohos89,2796660922,4.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NITRO POWERz,2796524386,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOOBQING,2796630960,12.0,Unranked,0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
It_DoGoDown_,2796577633,8.0,Unranked,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70fe291aa393bbce,2796646017,5.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JenkinsTribe,2796647033,4.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
men0ti,2796637977,28.0,Rookie,4,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Papa_Palpatine98,2796561207,64.0,Silver,3,3610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Icaruuss,2796577986,20.0,Unranked,0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Jawaiian_Warrior,2796517598,132.0,Unranked,0,0.0,5.0,1496.0,0.0,0.0,0.0,0.0,0.0
cocco18920,2796581035,17.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sipside12,2796566715,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k3i6f9,2796571738,35.0,Bronze,3,1918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicco-1998-,2796563497,6.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BobbyXLII,2796606197,101.0,Rookie,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bsilverblazeTTV,2796542446,39.0,Rookie,4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Dzeko0905,2796526591,8.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kraftdinner62,2796509232,19.0,Unranked,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown,2796594992,190.0,Silver,2,4083.0,1512.0,543193.0,0.0,0.0,0.0,0.0,0.0
MonkeyDSquall,2796569815,203.0,Rookie,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzassa_en_twitch,2796519119,12.0,Unranked,0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Vicentinni,2796580144,2.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trashbanda,2796516242,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCFJosh,2796527939,101.0,Bronze,4,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
JGuapo69,2796668088,22.0,Unranked,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
SandlotBros,2796603163,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JusticeiroNigga,2796608220,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LuRBLe79,2796666257,2.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nephy,2796540556,22.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Basler,2796608987,7.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEGACY,2796553002,59.0,Bronze,4,1000.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
codplayer1899,2796550843,37.0,Unranked,0,0.0,152.0,51089.0,282.0,0.0,0.0,0.0,0.0
